dataset,n,Quant 0.1 GB,Quant 1.0 GB,Hydra
MosquitoSound,1024,155.850114,137.334138,186.3683
MosquitoSound,2048,137.057597,190.738687,190.380549
MosquitoSound,4096,299.614832,273.781207,127.707353
MosquitoSound,8192,410.126447,457.866296,263.960782
MosquitoSound,16384,399.189368,724.757483,213.29422
MosquitoSound,32768,414.298914,1434.722021,174.508932
MosquitoSound,65536,484.101703,3018.329297,180.804002
MosquitoSound,131072,719.929663,3274.300732,262.773746
MosquitoSound,223652,913.553528,3633.393701,349.104227
Pedestrian,1024,1.392284,1.364189,2.883775
Pedestrian,2048,2.187939,1.942532,3.357296
Pedestrian,4096,3.376177,3.198357,2.458094
Pedestrian,8192,5.170967,5.110993,3.911763
Pedestrian,16384,8.056507,7.827139,4.542885
Pedestrian,32768,14.212842,16.770957,4.323365
Pedestrian,65536,27.071908,29.626191,4.00278
Pedestrian,131072,53.641063,54.128987,5.236566
Pedestrian,151696,65.556197,61.672147,5.983672
S2Agri,1024,1.447368,1.222056,2.291744
S2Agri,2048,2.451058,2.388088,2.379695
S2Agri,4096,5.681249,5.762822,2.644964
S2Agri,8192,11.677116,13.46125,1.621843
S2Agri,16384,26.344876,28.234737,2.474885
S2Agri,32768,62.13521,59.081103,3.693732
S2Agri,65536,137.424396,136.163933,3.207105
S2Agri,131072,234.050739,315.60719,4.881608
S2Agri,262144,241.508459,740.261072,7.317125
S2Agri,524288,297.616949,1517.205591,13.931973
S2Agri,1048576,322.33327,3545.362842,17.77893
S2Agri,2097152,411.496588,3542.398145,32.668275
S2Agri,4194304,579.988477,3918.202734,63.090961
S2Agri,8388608,862.779492,3994.469287,151.348708
S2Agri,16777216,1629.036621,4495.239453,247.055063
S2Agri,33554432,3153.427979,6458.268066,553.320587
S2Agri,47415058,4577.227148,7328.473633,736.960852
Traffic,1024,3.836038,3.295818,5.253014
Traffic,2048,4.649329,4.732485,5.188643
Traffic,4096,4.235792,5.425368,5.201539
Traffic,8192,6.438602,7.086959,7.665056
Traffic,16384,8.823665,9.538694,11.87414
Traffic,32768,17.160638,15.282499,10.355994
Traffic,65536,25.526941,24.385243,11.306248
Traffic,131072,49.548977,52.809569,9.869397
Traffic,262144,97.047336,100.014041,12.107262
Traffic,524288,210.85481,209.85249,15.703043
Traffic,1048576,448.661719,441.695746,24.942683
Traffic,1168774,447.325134,502.180298,25.697721
WhaleSounds,1024,24.116062,22.929087,3.545931
WhaleSounds,2048,47.219188,47.61421,5.212426
WhaleSounds,4096,103.326761,100.340385,9.243144
WhaleSounds,8192,213.018552,225.303671,12.052155
WhaleSounds,16384,298.171204,441.169543,22.342189
WhaleSounds,32768,325.162109,947.230347,30.944912
WhaleSounds,65536,366.305908,2165.517139,54.491905
WhaleSounds,84130,408.212592,2689.933154,68.490306
