dataset,fold,Quant 0.1 GB,Quant 1.0 GB,Hydra
MosquitoSound,0,0.211754,0.17273,0.132436
MosquitoSound,1,0.210166,0.1725,0.127788
MosquitoSound,2,0.21317,0.173824,0.131472
MosquitoSound,3,0.212688,0.17411,0.130757
MosquitoSound,4,0.211829,0.17225,0.129684
Pedestrian,0,0.212419,0.212419,0.384285
Pedestrian,1,0.209313,0.209313,0.38469
Pedestrian,2,0.213743,0.213743,0.386615
Pedestrian,3,0.211476,0.211476,0.387011
Pedestrian,4,0.210711,0.210711,0.385613
S2Agri,0,0.066499,0.059525,0.083132
S2Agri,1,0.066378,0.059538,0.083504
S2Agri,2,0.068319,0.061706,0.085278
S2Agri,3,0.06965,0.06277,0.086436
S2Agri,4,0.06688,0.060252,0.084096
Traffic,0,0.250888,0.24839,0.450273
Traffic,1,0.251087,0.248657,0.451827
Traffic,2,0.250039,0.247603,0.451772
Traffic,3,0.251495,0.248298,0.449682
Traffic,4,0.250256,0.247703,0.45023
WhaleSounds,0,0.32991,0.289497,0.407217
WhaleSounds,1,0.335806,0.294822,0.407502
WhaleSounds,2,0.333761,0.294347,0.412685
WhaleSounds,3,0.333872,0.29089,0.406666
WhaleSounds,4,0.336297,0.294313,0.411849
