dataset,fold,Quant 0.1 GB,Quant 1.0 GB,Hydra
MosquitoSound,0,977.92,3892.96,409.64
MosquitoSound,1,1164.24,3816.92,306.66
MosquitoSound,2,980.14,3697.74,425.87
MosquitoSound,3,1001.07,3585.3,431.11
MosquitoSound,4,894.13,3789.51,392.06
Pedestrian,0,62.01,60.81,7.08
Pedestrian,1,64.63,60.36,4.77
Pedestrian,2,60.1,60.52,3.46
Pedestrian,3,61.3,65.06,4.09
Pedestrian,4,62.77,59.36,3.37
S2Agri,0,5097.38,6745.36,975.8
S2Agri,1,4677.03,6931.36,861.06
S2Agri,2,4609.11,6890.17,844.04
S2Agri,3,4387.31,6835.4,917.72
S2Agri,4,4545.91,6872.49,690.09
Traffic,0,443.41,519.55,26.73
Traffic,1,450.81,487.72,25.99
Traffic,2,436.01,477.46,23.81
Traffic,3,459.51,513.59,27.61
Traffic,4,482.43,495.13,27.9
WhaleSounds,0,398.42,2749.59,68.32
WhaleSounds,1,436.43,2621.14,66.12
WhaleSounds,2,422.29,2767.15,67.84
WhaleSounds,3,410.7,2519.96,68.58
WhaleSounds,4,414.31,2796.15,66.63
